index,facility_name,source_facility_type,odhf_facility_type,provider,street_no,street_name,postal_code,city,province,source_format_str_address,csdname,csduid,pruid,latitude,longitude,cluster
2293,Nakile Home for Special Care,nursing home,Nursing and residential care facilities,Province of Nova Scotia,35,nakile drive,B0W 1W0,Argyle,NS,,Argyle,1202001.0,12.0,43.79122868,-65.86173664,3
2295,New Waterford Consolidated Hospital,general,Hospitals,Public Health Agency of Canada,716,king st,B1H 3Z5,New Waterford,NS,716 king st. new waterford ns b1h 3z5,Cape Breton,1217030.0,12.0,46.240138,-60.085691,3
2297,North Queens Nursing Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,9565,highway 8,B0T 1B0,Caledonia,NS,,Queens,1204010.0,12.0,44.37646364,-65.01481319999999,3
2298,Northside Community Guest Home,nursing home,Nursing and residential care facilities,Province of Nova Scotia,11,queen st,B2A 1A2,North Sydney,NS,,Cape Breton,1217030.0,12.0,46.19500767,-60.26263014,3
2299,Northside General Hospital,general,Hospitals,Public Health Agency of Canada,520,purves st,B2A 3M4,North Sydney,NS,520 purves st. north sydney ns b2a 3m4,Cape Breton,1217030.0,12.0,46.218293,-60.23561899999999,3
23,Bentley Care Centre,extended care,Nursing and residential care facilities,Public Health Agency of Canada,4834,52 ave,T0C 0J0,Bentley,AB,4834 - 52nd ave. bentley ab t0c 0j0,Bentley,4808026.0,48.0,52.467744,-114.04616,4
2301,Northumberland Hall Continuing Care Residence,nursing home,Nursing and residential care facilities,Province of Nova Scotia,189,willow street,B4H 3W6,Amherst,NS,,Amherst,1211011.0,12.0,45.82921455,-64.18958683,3
2302,Northwoodcare Bedford Incorporated- Christina & Hedley g. Ivany Place,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,123,gary martin drive,B4B 0G7,Bedford,NS,,Halifax,1209034.0,12.0,44.72371655,-63.70626578,3
2303,Northwoodcare Incorporated,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,2615,northwood terr,B3K 3S5,Halifax,NS,,Halifax,1209034.0,12.0,44.65718076,-63.59204668,3
2304,Nova Scotia Environmental Health Centre,environmental health,Ambulatory health care services,Province of Nova Scotia,3064,highway 2,B3K 3S5,Fall River,NS,,Halifax,1209034.0,12.0,44.809976,-63.60599200000001,3
2305,Nova Scotia Rehabilitation Centre,rehabilitation,Hospitals,Province of Nova Scotia,1341,summer street,B3K 3S5,Halifax,NS,,Halifax,1209034.0,12.0,44.639724,-63.58215799999999,3
2306,Oakwood Terrace,nursing home,Nursing and residential care facilities,Province of Nova Scotia,10,mount hope avenue,B2Y 4K1,Dartmouth,NS,,Halifax,1209034.0,12.0,44.65352971,-63.54451843,3
2307,Ocean View Continuing Care Centre,nursing home,Nursing and residential care facilities,Province of Nova Scotia,1909,caldwell road,B3G 1M4,Eastern Passage,NS,,Halifax,1209034.0,12.0,44.60672388,-63.47021578,3
2308,Olson's Glo Estate Home for Special Care,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,143,route 304,B4A 4J7,Overton,NS,,Yarmouth,1202004.0,12.0,43.848349,-66.12773299999999,3
2309,Orchard Court Continuing Care Residence,nursing home,Nursing and residential care facilities,Province of Nova Scotia,155,river street,B4N 1G8,Kentville,NS,,Kentville,1207012.0,12.0,45.07927263,-64.50264685,3
2310,Parkstone Enhanced Care Limited,nursing home,Nursing and residential care facilities,Province of Nova Scotia,156,parkland drive,B3S 1N9,Halifax,NS,,Halifax,1209034.0,12.0,44.66338256,-63.67207336,3
2311,Peter's Place (Pjd Rehab Housing Inc.),residential care facility,Nursing and residential care facilities,Province of Nova Scotia,326,huey lake road,B0R 1G0,Pleasnantville,NS,,Lunenburg,1206001.0,12.0,44.25792189,-64.41615526,3
2312,Peter's Place Halifax - Pjd Rehab Housing Incorporated,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,12,swan crescent,B3M 1T6,Halifax,NS,,Halifax,1209034.0,12.0,44.66905884,-63.65842992,3
2313,PONT DU MARAIS HOME LTD,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,1526,highway 335,B0W 2C0,Lower West Pubnico,NS,,Argyle,1202001.0,12.0,43.63821368,-65.80187492,3
2314,Port Hawkesbury Nursing Home,nursing home and residential care facility,Nursing and residential care facilities,Province of Nova Scotia,2,macquarrie drive extension,B9A 3A2,Port Hawkesbury,NS,,Port Hawkesbury,1215002.0,12.0,45.619351,-61.35377710000001,3
2315,Precision Health - 16 Rannoch Road,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,16,rannoch road,B9A 3A2,Dartmouth,NS,,Halifax,1209034.0,12.0,44.69066361,-63.53563314,3
2316,Precision Health - 24 Kincardine Street,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,24,kincardine street,B2X 1H9,Dartmouth,NS,,Halifax,1209034.0,12.0,44.69142556,-63.53708654,3
2317,Precision Health - Washmill Lake Drive Appartments,residential care facility,Nursing and residential care facilities,Province of Nova Scotia,599,washmill lake drive,B3G 1M4,Halifax,NS,,Halifax,1209034.0,12.0,44.65001241,-63.65366567,3
2318,Qeii - Halifax Infirmary Site,tertiary,Hospitals,Province of Nova Scotia,1796,summer street,B3G 1M4,Halifax,NS,,Halifax,1209034.0,12.0,44.645784,-63.586389,3
